,temprature ofAgra,wind ofAgra,humidity ofAgra
0,42     ,13     ,21 
1,42     ,13     ,21 
2,43     ,13     ,20 
3,43     ,13     ,19 
4,42     ,13     ,20 
5,42     ,12     ,21 
6,40     ,11     ,23 
7,39     ,10     ,26 
8,38     ,10     ,28 
9,37     ,10     ,30 
10,36     ,10     ,32 
11,35     ,10     ,33 
12,34     ,9     ,34 
13,34     ,8     ,36 
14,33     ,8     ,37 
15,33     ,9     ,37 
16,33     ,9     ,37 
17,34     ,11     ,35 
18,36     ,12     ,31 
19,39     ,13     ,27 
20,41     ,14     ,24 
21,42     ,14     ,22 
22,43     ,14     ,20 
23,44     ,14     ,20 
