,temprature ofMeerut,wind ofMeerut,humidity ofMeerut
0,42     ,15     ,22 
1,42     ,16     ,21 
2,42     ,17     ,21 
3,42     ,18     ,22 
4,41     ,18     ,23 
5,41     ,16     ,24 
6,39     ,13     ,26 
7,38     ,10     ,28 
8,37     ,10     ,30 
9,36     ,12     ,32 
10,35     ,12     ,34 
11,34     ,11     ,36 
12,34     ,11     ,37 
13,34     ,10     ,38 
14,33     ,9     ,39 
15,32     ,9     ,41 
16,31     ,9     ,43 
17,31     ,9     ,43 
18,34     ,8     ,38 
19,36     ,8     ,33 
20,38     ,10     ,29 
21,40     ,15     ,27 
22,41     ,16     ,24 
23,42     ,15     ,23 
